;c_diagnose_1;c_diagnose_Catalog_1;mapped_Catalog;number_of_mappings;number_of_upsamplings;matchable_code
0;E66.97;ICD10 2022;['ICD10CM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10'];9.0;1.0;E66.9
1;I31.88;ICD10 2022;['ICD10GM', 'ICD10', 'ICD10CM'];3.0;1.0;I31.8
2;K86.84;ICD10 2022;['ICD10', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10GM'];5.0;1.0;K86.8
3;UUU;ICD10 2021;['ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM'];373.0;2.0;U
4;E66.27;ICD10 2022;['ICD10GM', 'ICD10CM', 'ICD10', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM'];9.0;1.0;E66.2
5;E66.86;ICD10 2022;['ICD10', 'ICD10CM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM'];9.0;1.0;E66.8
6;E66.88;ICD10 2022;['ICD10', 'ICD10CM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM'];9.0;1.0;E66.8
7;G99.00;ICD10 2022;['ICD10', 'ICD10CM', 'ICD10GM'];3.0;1.0;G99.0
8;J98.10;ICD10 2022;['ICD10', 'ICD10GM', 'ICD10CM', 'ICD10CM', 'ICD10CM'];5.0;1.0;J98.1
9;K31.10;ICD10 2022;['ICD10', 'ICD10CM', 'ICD10GM'];3.0;1.0;K31.1
