"c_diagnose_1","c_diagnose_katalog_1"
"009.3",ICD-9
"011.9",ICD-9
"038.0",ICD-9
"038.1",ICD-9
"040.8",ICD-9
"053.9",ICD-9
"084.6",ICD-9
"099.3",ICD-9
"100.9",ICD-9
"143.0",ICD-9
"148.0",ICD-9
"150.3",ICD-9
"152.0",ICD-9
"153",ICD-9
"153.1",ICD-9
"157.4",ICD-9
"158.9",ICD-9
"164.1",ICD-9
"173.3",ICD-9
"174.0",ICD-9
"184.0",ICD-9
"191.6",ICD-9
"192.2",ICD-9
"196.9",ICD-9
"198.4",ICD-9
"210.2",ICD-9
"216.4",ICD-9
"216.7",ICD-9
"222.1",ICD-9
"225.0",ICD-9
"225.3",ICD-9
"227.0",ICD-9
"235.7",ICD-9
"250.1",ICD-9
"250.6",ICD-9
"253.2",ICD-9
"255.2",ICD-9
"255.5",ICD-9
"256.4",ICD-9
"276.6",ICD-9
"277.8",ICD-9
"283.0",ICD-9
"283.2",ICD-9
"285.9",ICD-9
"287.3",ICD-9
"287.4",ICD-9
"288.8",ICD-9
"289.1",ICD-9
"295.4",ICD-9
"296.4",ICD-9
"298.2",ICD-9
"300.6",ICD-9
"301.1",ICD-9
"305.1",ICD-9
"307.2",ICD-9
"308.0",ICD-9
"332.0",ICD-9
"333.2",ICD-9
"333.9",ICD-9
"336.1",ICD-9
"342.0",ICD-9
"348.0",ICD-9
"355.3",ICD-9
"358.0",ICD-9
"359.3",ICD-9
"361.3",ICD-9
"362.7",ICD-9
"364.4",ICD-9
"365",ICD-9
"366.3",ICD-9
"369.8",ICD-9
"371.0",ICD-9
"374.1",ICD-9
"376.9",ICD-9
"377.2",ICD-9
"379.1",ICD-9
"381.5",ICD-9
"382.9",ICD-9
"386.2",ICD-9
"389.1",ICD-9
"389.2",ICD-9
"422.0",ICD-9
"426.4",ICD-9
"426.6",ICD-9
"441.2",ICD-9
"444.8",ICD-9
"447.8",ICD-9
"451.2",ICD-9
"464.2",ICD-9
"464.3",ICD-9
"465.8",ICD-9
"465.9",ICD-9
"466.0",ICD-9
"482.9",ICD-9
"528.0",ICD-9
"560.8",ICD-9
"567.2",ICD-9
"567.9",ICD-9
"569.3",ICD-9
"570",ICD-9
"571.5",ICD-9
"575.1",ICD-9
"579.9",ICD-9
"583.8",ICD-9
"592.9",ICD-9
"601.9",ICD-9
"614.1",ICD-9
"616.1",ICD-9
"623.8",ICD-9
"626.6",ICD-9
"628.2",ICD-9
"634.1",ICD-9
"635.1",ICD-9
"642",ICD-9
"642.6",ICD-9
"646",ICD-9
"647.8",ICD-9
"648.6",ICD-9
"674.3",ICD-9
"675.1",ICD-9
"694.8",ICD-9
"695.1",ICD-9
"695.2",ICD-9
"695.4",ICD-9
"695.8",ICD-9
"710.3",ICD-9
"714.9",ICD-9
"717.6",ICD-9
"728.1",ICD-9
"742.5",ICD-9
"744.0",ICD-9
"744.2",ICD-9
"751.1",ICD-9
"751.3",ICD-9
"752.4",ICD-9
"752.5",ICD-9
"753.0",ICD-9
"757.3",ICD-9
"757.6",ICD-9
"765.1",ICD-9
"770.6",ICD-9
"778.7",ICD-9
"783.9",ICD-9
"786.1",ICD-9
"793.5",ICD-9
"795.0",ICD-9
"801.1",ICD-9
"804.2",ICD-9
"807.0",ICD-9
"817.1",ICD-9
"820.3",ICD-9
"824.4",ICD-9
"848.3",ICD-9
"863.2",ICD-9
"865.0",ICD-9
"867.4",ICD-9
"868",ICD-9
"878.2",ICD-9
"883.2",ICD-9
"904.3",ICD-9
"919.4",ICD-9
"924.9",ICD-9
"935.1",ICD-9
"935.2",ICD-9
"959.0",ICD-9
"968.5",ICD-9
"977.9",ICD-9
"991.2",ICD-9
"998.5",ICD-9
A01.0,ICD10 2004
A01.0,ICD10 2006
A01.0,ICD10 2012
A01.0,ICD10 2018
A01.1,ICD10 2019
A01.2,ICD10 2014
A01.4,ICD10 2017
A02.0,ICD10 2007
A02.0,ICD10 2013
A02.0,ICD10 2018
A02.1,ICD10 2005
A02.9,ICD10 2013
A03.1,ICD10 2005
A03.1,ICD10 2016
A03.3,ICD10 2004
A03.3,ICD10 2007
A04.0,ICD10 2009
A04.0,ICD10 2015
A04.3,ICD10 2007
A04.3,ICD10 2021
A04.5,ICD10 2014
A04.5,ICD10 2019
A04.6,ICD10 2006
A04.6,ICD10 2016
A04.7,ICD10 2015
A04.72,ICD10 2017
A04.79,ICD10 2018
A04.79,ICD10 2020
A04.8,ICD-10 V20
A04.8,ICD10 2014
A04.9,ICD10 2004
A04.9,ICD10 2009
A05.0,ICD10 2007
A05.0,ICD10 2012
A05.1,ICD10 2008
A05.8,ICD10 2013
A05.9,ICD10 2007
A05.9,ICD10 2010
A06.0,ICD-10 V20
A06.1,ICD10 2018
A06.4,ICD10 2015
A06.4,ICD10 2019
A06.4,ICD10 2020
A06.9,ICD-10 V20
A07.1,ICD-10
A07.2,ICD10 2010
A07.8,ICD10 2012
A07.9,ICD10 2015
A08.0,ICD10 2004
A08.1,ICD10 2007
A08.1,ICD10 2014
A08.2,ICD10 2008
A08.3,ICD10 2018
A08.5,ICD10 2012
A15.1,ICD10 2013
A15.1,ICD10 2016
A15.2,ICD10 2012
A15.2,ICD10 2014
A15.3,ICD10 2017
A15.3,ICD10 2018
A15.4,ICD10 2006
A15.5,ICD10 2010
A15.5,ICD10 2013
A15.5,ICD10 2021
A15.6,ICD10 2008
A15.6,ICD10 2011
A15.6,ICD10 2012
A15.6,ICD10 2017
A15.7,ICD10 2007
A15.7,ICD10 2008
A15.7,ICD10 2011
A15.7,ICD10 2020
A15.9,ICD10 2011
A15.9,ICD10 2017
A16.0,ICD10 2019
A16.1,ICD10 2020
A16.4,ICD10 2004
A16.4,ICD10 2014
A16.7,ICD10 2013
A16.7,ICD10 2018
A16.7,ICD10 2019
A16.9,ICD10 2005
A16.9,ICD10 2019
A17.0,ICD10 2018
A17.1,ICD10 2011
A17.8,ICD10 2004
A17.8,ICD10 2005
A17.8,ICD10 2011
A17.9,ICD10 2016
A18.0,ICD10 2015
A18.1,ICD10 2005
A18.2,ICD10 2012
A18.3,ICD10 2006
A18.3,ICD10 2021
A18.4,ICD10 2008
A18.4,ICD10 2015
A18.5,ICD10 2011
A18.5,ICD10 2014
A18.5,ICD10 2022
A18.6,ICD10 2006
A19.1,ICD10 2017
A19.2,ICD10 2008
A19.8,ICD10 2006
A19.8,ICD10 2014
A19.8,ICD10 2016
A19.8,ICD10 2021
A19.9,ICD10 2005
A19.9,ICD10 2006
A19.9,ICD10 2012
A19.9,ICD10 2018
A21.3,ICD10 2007
A21.9,ICD10 2012
A21.9,ICD10 2013
A23.1,ICD10 2017
A24.4,ICD10 2021
A26.0,ICD10 2018
A26.9,ICD10 2019
A26.9,ICD10 2021
A27.8,ICD10 2012
A27.8,ICD10 2016
A28.0,ICD10 2011
A28.1,ICD10 2018
A28.2,ICD10 2014
A28.2,ICD10 2018
A28.8,ICD10 2008
A28.9,ICD10 2021
A31.0,ICD10 2010
A31.0,ICD10 2015
A31.0,ICD10 2018
A31.1,ICD10 2008
A32.1,ICD10 2010
A32.7,ICD10 2021
A32.9,ICD10 2009
A32.9,ICD10 2012
A37.0,ICD10 2005
A37.0,ICD10 2008
A37.0,ICD10 2017
A38,ICD-10 V20
A38,ICD10 2006
A39.0,ICD10 2008
A39.0,ICD10 2019
A39.4,ICD-10
A39.8,ICD10 2008
A39.9,ICD10 2005
A39.9,ICD10 2013
A39.9,ICD10 2014
A40.0,ICD10 2012
A40.0,ICD10 2016
A40.0,ICD10 2022
A40.1,ICD10 2013
A40.1,ICD10 2018
A40.3,ICD10 2009
A40.3,ICD10 2014
A40.3,ICD10 2019
A40.8,ICD10 2017
A40.8,ICD10 2021
A41.0,ICD10 2009
A41.0,ICD10 2022
A41.1,ICD10 2007
A41.1,ICD10 2010
A41.1,ICD10 2014
A41.2,ICD10 2005
A41.2,ICD10 2017
A41.2,ICD10 2019
A41.3,ICD10 2004
A41.3,ICD10 2013
A41.3,ICD10 2022
A41.4,ICD10 2016
A41.51,ICD10 2016
A41.52,ICD10 2007
A41.52,ICD10 2016
A41.58,ICD10 2009
A41.58,ICD10 2011
A41.58,ICD10 2012
A41.9,ICD10 2004
A41.9,ICD10 2007
A41.9,ICD10 2021
A42.1,ICD10 2008
A42.1,ICD10 2021
A42.7,ICD10 2015
A42.7,ICD10 2021
A42.8,ICD10 2009
A42.8,ICD10 2010
A42.9,ICD10 2006
A42.9,ICD10 2018
A43.9,ICD-10 V20
A43.9,ICD10 2019
A44.1,ICD10 2021
A44.8,ICD10 2022
A46,ICD-10
A48.0,ICD-10 V20
A48.0,ICD10 2016
A48.0,ICD10 2017
A48.0,ICD10 2018
A48.3,ICD10 2010
A48.8,ICD10 2013
A49.0,ICD10 2015
A49.1,ICD-10
A49.2,ICD10 2005
A49.2,ICD10 2013
A49.2,ICD10 2014
A49.3,ICD10 2009
A49.3,ICD10 2016
A49.8,ICD10 2018
A49.9,ICD10 2022
A50.0,ICD-10
A50.0,ICD10 2006
A50.0,ICD10 2011
A50.1,ICD10 2005
A50.5,ICD10 2021
A50.9,ICD-10
A50.9,ICD10 2019
A50.9,ICD10 2022
A51.0,ICD10 2008
A51.0,ICD10 2015
A51.3,ICD10 2008
A51.3,ICD10 2012
A51.3,ICD10 2018
A51.4,ICD10 2013
A51.5,ICD10 2013
A51.9,ICD10 2007
A52.1,ICD10 2010
A52.1,ICD10 2016
A52.1,ICD10 2021
A52.2,ICD-10 V20
A52.2,ICD10 2009
A52.2,ICD10 2016
A52.3,ICD10 2011
A52.7,ICD10 2014
A52.9,ICD10 2006
A53.0,ICD10 2009
A53.0,ICD10 2020
A53.0,ICD10 2021
A53.9,ICD10 2004
