ops_mismatch_code;icd_mismatch_code;
1-207.4; 'E66.97';
1-220.1; 'I31.88';
1-220.3; 'K86.84';
1-220.x; 'UUU';
1-229.0; 'E66.27';
1-229.2; 'E66.86';
1-243.0; 'E66.88';
1-272.0; 'G99.00';
1-272.0; 'J98.10';
1-272.4; 'K31.10';
1-313.1; 'N13.63';
1-400.y; 'N13.64';
1-432.12; 'U69.54';
1-440.0; '044.9';
1-440.1; 'E66.98';
1-440.4; 'G94.31';
1-444.2x; 'I77.80';
1-463.10; 'J36.0';
1-465.90; 'J98.12';
1-465.91; 'K.07.2';
1-479; 'K62.51';
1-484.00; 'U69.55';
1-500.0; 'I77.80';
1-500.0; 'K65.09';
1-500.0; 'N13.20';
1-500.1; 'S70.86';
1-500.3; '042.0';
1-500.4; 'H.17.8';
1-500.4; 'ICD10';
1-500.5; 'INER ZWE';
1-500.5; 'K72.18';
1-500.7; 'N13.65';
1-500.x; 'N99.10';
1-500.y; '5-158.23';
1-500.y; 'G94.32';
1-500.y; 'J 35.8';
1-500.y; 'J98.18';
1-519.x; 'K31.18';
1-519.y; 'K62.59';
1-540; 'K70.48'';
1-541; 'N13.21';
1-544; 'U69.51';
1-545.0; ' ';
1-545.0; ' ';
1-545.0; '042.1';
1-545.2; '042.2';
1-545.2; 'E66.06';
1-545.2; 'G94.30';
1-558.0; 'G94.39';
1-558.1; 'K31.11';
1-558.2; 'K31.12';
1-564.2; 'K65.09';
1-564.2; 'M9391/3';
1-569.4; 'N13.61';
1-570.x; 'N99.18';
1-571.x; 'U69.6';
1-615.12; 'UUU';
1-616.1; 'V30.-';
1-620.3; 'E66.87';
1-623; 'N13.62';
1-634; 'N13.66';
1-653.0; 'T08.X0';
1-653.1; 'U69.50';
1-653.1; '043.2';
1-659.0; '540-543';
1-868.1; 'E66.08';
1-941.30; 'E66.28';
1-941.31; 'H35.39';
1-991.2; 'K65.00';
1-995.00; 'N13.68';
1-995.10; 'S';
1-999.42; ' ';
1-999.4x; ' ';
116b020400; '482.-';
116b021100; 'CA';
116b030103; 'E66.96';
116b030104; 'K86.80';
116b030106;;
3-609;;
3-829;;
5-014.5;;
5-015.02;;
5-015.03;;
5-015.30;;
5-015.31;;
5-015.41;;
5-015.52;;
5-021.20;;
5-025.4x;;
5-025.66;;
5-026.21;;
5-028.00;;
5-028.02;;
5-028.22;;
5-030.44;;
5-031.13;;
5-031.2y;;
5-036.13;;
5-040.20;;
5-048.4x;;
5-055.42;;
5-056.01;;
5-057.41;;
5-059.00;;
5-059.04;;
5-071.33;;
5-091.2y;;
5-091.3y;;
5-100.2;;
5-101.01;;
5-101.02;;
5-101.05;;
5-101.15;;
5-102.0;;
5-102.00;;
5-102.05;;
5-103.14;;
5-104.00;;
5-106.22;;
5-106.y;;
5-107.00;;
5-125.12;;
5-125.1x;;
5-126.10;;
5-138.0y;;
5-143.01;;
5-143.04;;
5-143.x1;;
5-143.x3;;
5-144.02;;
5-144.04;;
5-144.0x;;
5-144.12;;
5-144.12;;
5-144.24;;
5-144.33;;
5-144.52;;
5-144.x2;;
5-144.x2;;
5-145.02;;
5-145.04;;
5-145.22;;
5-145.24;;
5-145.x4;;
5-146.02;;
5-146.03;;
5-146.04;;
5-146.14;;
5-146.x3;;
5-152.3;;
5-154.1;;
5-158.17;;
5-158.4y;;
5-163.1y;;
5-181.40;;
5-181.50;;
5-181.52;;
5-190;;
5-191.0;;
5-192.x;;
5-193.0;;
5-193.03;;
5-195.2;;
5-195.21;;
5-195.31;;
5-195.31;;
5-196;;
5-199.1;;
5-199.x;;
5-199.y;;
5-199.y;;
5-200.1;;
5-201.0;;
5-201.0;;
5-201.1;;
5-201.y;;
5-202.3;;
5-203.2;;
5-203.3;;
5-203.4;;
5-203.5;;
5-203.8;;
5-212.32;;
5-214.1;;
5-215.11;;
5-215.21;;
5-215.30;;
5-218.5;;
5-218.51;;
5-218.70;;
5-218.y0;;
5-221.10;;
5-221.1y;;
5-221.30;;
5-221.31;;
5-221.50;;
5-221.50;;
5-221.51;;
5-221.x1;;
5-229.0;;
5-229.1;;
5-229.2;;
5-229.y;;
5-231.1y;;
5-235.x3;;
5-263.25;;
5-272.30;;
5-272.41;;
5-275.42;;
5-275.5;;
5-276.0;;
5-280.11;;
5-292.10;;
5-292.11;;
5-292.12;;
5-292.1x;;
5-292.2x;;
5-300.00;;
5-300.22;;
5-300.x0;;
5-316.1x;;
5-322.23;;
5-322.71;;
5-322.e3;;
5-322.e3;;
5-322.h1;;
5-322.x1;;
5-322.x3;;
5-322.y1;;
5-323.01;;
5-323.02;;
5-324.11;;
5-333.01;;
