c_prozedur_code;c_prozedur_katalog
1-100;OPS 2006
1-100;OPS 2008
1-202.0;OPS 2004
1-202.00;OPS 2006
1-202.00;OPS 2011
1-202.00;OPS 2020
1-202.01;OPS 2005
1-202.01;OPS 2006
1-202.01;OPS 2020
1-202.1;OPS 2004
1-202.1;OPS 2009
1-202.1;OPS 2010
1-203.0;OPS 2007
1-203.2;OPS 2017
1-204.0;OPS 2014
1-204.0;OPS 2019
1-204.1;OPS 2006
1-204.1;OPS 2010
1-204.1;OPS 2015
1-204.2;OPS 2006
1-204.2;OPS 2014
1-204.2;OPS 2022
1-204.3;OPS 2009
1-204.3;OPS 2011
1-204.4;OPS 2006
1-204.4;ops_v20
1-204.5;OPS 2005
1-204.5;OPS 2006
1-204.5;OPS 2015
1-204.5;OPS 2020
1-204.7;OPS 2015
1-204.X;OPS 2004
1-204.X;OPS 2007
1-204.X;OPS 2009
1-204.X;OPS 2014
1-204.X;OPS 2016
1-204.Y;OPS 2004
1-205;OPS 2004
1-205;OPS 2005
1-205;OPS 2007
1-205;OPS 2010
1-205;OPS 2016
1-205;ops_v20
1-206;OPS 2006
1-206;OPS 2013
1-206;OPS 2018
1-207.0;OPS 2015
1-207.0;OPS 2018
1-207.0;OPS 2019
1-207.0;ops_v21
1-207.1;OPS 2007
1-207.1;OPS 2013
1-207.1;OPS 2014
1-207.1;OPS 2015
1-207.2;OPS 2009
1-207.2;OPS 2014
1-207.2;OPS 2022
1-207.3;OPS 2015
1-207.3;OPS 2022
1-207.3;ops_v21
1-207.4;ICPM
1-207.X;OPS 2005
1-207.X;OPS 2007
1-207.X;OPS 2009
1-207.X;OPS 2011
1-207.X;OPS 2018
1-208.0;OPS 2015
1-208.1;OPS 2006
1-208.2;OPS 2014
1-208.2;OPS 2015
1-208.2;OPS 2017
1-208.2;OPS 2019
1-208.3;OPS 2004
1-208.3;OPS 2006
1-208.3;OPS 2022
1-208.4;OPS 2011
1-208.4;OPS 2019
1-208.5;OPS 2010
1-208.6;OPS 2014
1-208.6;OPS 2021
1-208.8;OPS 2010
1-208.8;OPS 2014
1-208.8;OPS 2019
1-208.8;OPS 2020
1-208.X;OPS 2004
1-208.X;OPS 2016
1-208.X;OPS 2021
1-20A.20;OPS 2007
1-20A.20;OPS 2009
1-20A.21;OPS 2009
1-20A.21;OPS 2012
1-20A.21;OPS 2019
1-20A.30;OPS 2020
1-20C;OPS 2013
1-20C.0;OPS 2017
1-20C.0;OPS 2019
1-20C.1;OPS 2018
1-20C.X;OPS 2014
1-20C.X;OPS 2018
1-20C.X;OPS 2020
1-210;OPS 2009
1-211;OPS 2007
1-211;OPS 2009
1-211;OPS 2020
1-212.1;OPS 2007
1-212.2;OPS 2006
1-212.2;OPS 2014
1-212.3;OPS 2010
1-213;OPS 2021
1-220.0;OPS 2011
1-220.1;ICPM
1-220.3;ICPM
1-220.X;ICPM
1-229.0;ICPM
1-229.2;ICPM
1-242;OPS 2004
1-242;OPS 2008
1-242;OPS 2015
1-242;OPS 2018
1-243;OPS 2008
1-243;OPS 2012
1-243;OPS 2013
1-243;OPS 2016
1-243;OPS 2018
1-243;OPS 2020
1-243.0;ICPM
1-245;OPS 2012
1-245;OPS 2017
1-245;OPS 2022
1-247;OPS 2019
1-265.0;OPS 2010
1-265.0;OPS 2012
1-265.1;OPS 2007
1-265.1;OPS 2014
1-265.3;OPS 2010
1-265.3;OPS 2019
1-265.4;OPS 2005
1-265.4;OPS 2013
1-265.4;OPS 2018
1-265.5;OPS 2009
1-265.5;OPS 2016
1-265.5;OPS 2020
1-265.5;OPS 2022
1-265.6;OPS 2005
1-265.6;OPS 2013
1-265.6;OPS 2022
1-265.7;OPS 2004
1-265.7;OPS 2019
1-265.9;OPS 2018
1-265.9;OPS 2022
1-265.A;OPS 2009
1-265.A;OPS 2014
1-265.A;OPS 2017
1-265.B;OPS 2012
1-265.B;OPS 2016
1-265.D;OPS 2006
1-265.F;OPS 2015
1-265.F;OPS 2019
1-265.X;OPS 2009
1-265.X;OPS 2011
1-265.X;OPS 2013
1-266.1;OPS 2010
1-266.1;OPS 2013
1-266.1;ops_v20
1-266.2;ops_v20
1-266.3;OPS 2004
1-266.3;OPS 2006
1-266.3;OPS 2014
1-266.3;OPS 2017
1-266.3;OPS 2020
1-266.X;OPS 2006
1-266.X;OPS 2015
1-266.Y;ops_v20
1-268.3;OPS 2010
1-268.3;OPS 2014
1-268.3;OPS 2020
1-268.3;OPS 2022
1-268.4;OPS 2008
1-268.4;OPS 2011
1-268.4;OPS 2017
1-268.5;ops_v20
1-268.X;OPS 2006
1-268.X;OPS 2018
1-272.0;OPS 2005
1-272.0;ops_v21
1-272.4;OPS 2008
1-273.1;OPS 2013
1-273.2;OPS 2004
1-273.2;OPS 2015
1-273.5;OPS 2010
1-273.5;OPS 2015
1-273.6;OPS 2006
1-273.6;OPS 2013
1-273.X;OPS 2013
1-273.X;OPS 2020
1-273.Y;OPS 2011
1-273.Y;OPS 2019
1-274.0;OPS 2020
1-274.1;OPS 2008
1-274.2;OPS 2009
1-274.2;OPS 2020
1-274.3;OPS 2010
1-274.3;OPS 2015
1-274.3;OPS 2019
1-274.3;OPS 2022
1-274.4;OPS 2010
1-274.X;OPS 2013
1-274.Y;OPS 2014
1-274.Y;OPS 2020
1-275.0;OPS 2006
1-275.0;OPS 2010
1-275.0;OPS 2012
1-275.0;OPS 2014
1-275.0;OPS 2016
1-275.0;OPS 2018
1-275.1;OPS 2005
1-275.1;OPS 2006
1-275.1;OPS 2019
1-275.2;OPS 2004
1-275.2;OPS 2009
1-275.2;OPS 2012
1-275.2;OPS 2016
1-275.2;OPS 2022
1-275.2;ops_v21
1-275.3;OPS 2004
1-275.3;OPS 2005
1-275.3;OPS 2015
1-275.3;OPS 2016
1-275.3;OPS 2020
1-275.4;OPS 2005
1-275.4;OPS 2007
1-275.4;OPS 2008
1-275.5;OPS 2005
1-275.5;OPS 2006
1-275.5;OPS 2010
1-275.5;OPS 2016
1-275.X;OPS 2007
1-275.X;OPS 2014
1-275.X;OPS 2016
1-276.0;OPS 2006
1-276.0;OPS 2012
1-276.0;OPS 2021
1-276.1;OPS 2017
1-276.20;OPS 2016
1-276.20;OPS 2021
1-276.21;OPS 2009
1-276.22;OPS 2018
1-276.X;OPS 2015
1-276.Y;OPS 2008
1-277.0;OPS 2006
1-277.0;OPS 2018
1-277.0;OPS 2019
1-277.1;OPS 2005
1-279.0;OPS 2005
1-279.0;OPS 2019
1-279.0;OPS 2021
1-279.50;OPS 2019
1-279.51;OPS 2012
1-279.51;OPS 2020
1-279.6;OPS 2010
1-279.6;OPS 2017
1-279.6;OPS 2021
1-279.7;OPS 2008
1-279.7;OPS 2019
1-279.8;OPS 2017
1-279.8;OPS 2020
1-279.9;OPS 2011
1-279.9;OPS 2019
1-279.A;OPS 2007
1-279.B;OPS 2017
1-279.B;OPS 2018
1-279.B;OPS 2020
1-279.X;OPS 2008
1-279.X;OPS 2012
1-279.X;OPS 2014
1-279.X;OPS 2017
1-279.Y;OPS 2005
1-313;OPS 2004
1-313;OPS 2012
1-313.1;OPS 2022
1-314;OPS 2009
1-315;OPS 2005
1-315;OPS 2008
